wechat,weibo,others,sales
304.4,93.6,294.4,9.7
1011.9,34.4,398.4,16.7
1091.1,32.8,295.2,17.3
85.5,173.6,403.2,7
1047,302.4,553.6,22.1
940.9,41.6,155.2,17.2
1277.2,111.2,296,16.1
38.2,217.6,16.8,5.7
342.6,162.4,260,11.3
347.6,6.4,118.4,9.4
980.1,188.8,460.8,17.1
39.1,16.8,8,4.8
39.6,391.2,600,7.2
889.1,381.6,423.2,22.4
633.8,116,81.6,13.4
527.8,61.6,184.8,11
203.4,206.4,164.8,10.1
499.6,382.4,411.2,16.7
633.4,114.4,204.8,12.2
437.7,118.4,311.2,12.3
334,136,103.2,10.9
1132,216.8,183.2,18.9
841.3,351.2,13.6,20.7
435.4,11.2,59.2,11.9
627.4,371.2,472,15
599.2,147.2,276.8,12.9
321.2,128,326.4,10.5
571.9,295.2,633.6,15.9
758.9,336,28.8,19.6
799.4,123.2,19.2,17.1
314,74.4,7.2,11.3
108.3,280.8,527.2,9.2
339.9,395.2,365.6,14.7
619.7,153.6,132.8,13.2
227.5,92.8,147.2,8.4
347.2,220,128,12
774.4,62.4,281.6,16.7
1003.3,265.6,303.2,20.1
60.1,127.2,396.8,5.6
88.3,128,178.4,6.6
1280.4,316.8,446.4,24.4
743.9,294.4,59.2,18
805.4,267.2,309.6,17.1
905,395.2,480,23.7
76.9,349.6,715.2,8.7
1088.8,124,218.4,20.7
670.2,191.2,152.8,14.6
513.7,139.2,308.8,11.9
1067,27.2,678.4,16.9
89.2,160.8,136,7.6
130.1,12,264,7.3
113.8,88,237.6,7.2
195.7,207.2,164,9.6
1000.1,268,360.8,19.6
283.5,100.8,146.4,9.7
1245.3,231.2,477.6,20.8
681.1,284.8,48,17.3
341.7,280,421.6,12.6
743,252.8,423.2,16.9
976.9,192,32,17.4
1308.6,344,574.4,26.2
953.7,164.8,85.6,20.9
1196.2,28,156,17
488.7,112,87.2,11.5
1027.4,65.6,452,18.4
830.8,369.6,469.6,21.2
984.6,333.6,316.8,22.6
143.3,196.8,17.6,11
1092.5,58.4,69.6,18.2
993.7,221.6,427.2,18
1290.4,336,529.6,25.5
638.4,15.2,72,10.3
355.8,374.4,276,14.6
854.5,168.8,76,20.6
3.2,316.8,69.6,1.6
615.2,333.6,367.2,17.2
53.2,295.2,361.6,7.3
401.8,204,587.2,12.9
1348.6,290.4,807.2,23.8
78.3,367.2,554.4,12
1188.9,341.6,437.6,24.2
1206.7,23.2,344,17.7
899.1,28,47.2,16.7
364.9,0,73.6,11.9
854.9,137.6,143.2,19.7
1099.7,304,185.6,21.8
909.1,20.8,169.6,15.6
1293.6,84.8,51.2,20
311.2,356,284.8,13.6
411.3,2.4,185.6,12
881.3,283.2,604.8,19.2
1091.5,332,148,23.2
18.7,92.8,45.6,3.2
921.4,178.4,252.8,16.6
1214.4,350.4,40,25.4
1038.8,135.2,209.6,20.5
427.2,348,404,15.3
116.5,312,74.4,9.5
879.1,147.2,525.6,20.2
971,196.8,104.8,17
899.1,186.4,113.6,16.6
114.2,205.6,346.4,8.5
78.3,32.8,252.8,5.9
59.6,3.2,204.8,5.3
748.5,167.2,379.2,17.5
681.6,10.4,194.4,10.1
261.6,262.4,188,11.8
1083.8,274.4,42.4,20.7
1322.7,32.8,68,17.8
753.5,80,140.8,17.6
1259.9,391.2,334.4,27
1080.2,40.8,188,17.5
33.2,224.8,331.2,5.5
